File1,File2,Compatibilità%,Distanza,Status,Hash1,Hash2,Timestamp,ReportHTML
binLaden2.jpeg,binLaden2.jpeg,100.00,0.000000,ALTA,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,2025-11-07 11:40:41,/Users/CFDA_BOLOGNA/farec3d/reports_batch/report_20251107_114041_1.html
binLaden2.jpeg,binladen1.jpeg,18.95,0.162104,BASSA,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,f4547c883291b0a64f0f83570a5a2a7ef8919c662dcf03394d7f128d4bffb9f4,2025-11-07 11:40:41,/Users/CFDA_BOLOGNA/farec3d/reports_batch/report_20251107_114041_2.html
binLaden2.jpeg,binladen3.jpeg,1.05,0.197910,BASSA,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,5a432f19d4683810f9950d196f138c5a999aa2a3e511bc6503c8bfead1e1e0f2,2025-11-07 11:40:41,/Users/CFDA_BOLOGNA/farec3d/reports_batch/report_20251107_114041_2.html
binLaden2.jpeg,binladen4.jpeg,21.26,0.157490,BASSA,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,e2907a462828d3ebdb702afa82c4f8c85e05448458d70b3032584eb12d3bedc4,2025-11-07 11:40:41,/Users/CFDA_BOLOGNA/farec3d/reports_batch/report_20251107_114041_2.html
binLaden2.jpeg,binladen5.jpeg,52.89,0.094215,BASSA,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,49ad86c7f9e938a96dc666fa08a888073c59278c5c047cdf7da3c7aedcdc9364,2025-11-07 11:40:41,/Users/CFDA_BOLOGNA/farec3d/reports_batch/report_20251107_114041_3.html
binLaden2.jpeg,binladen6.jpeg,0.00,0.204136,BASSA,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,a2ff8dc1717b749229150ccaf7c6b10abc8ed5b20bbcd87df8d0574b15329812,2025-11-07 11:40:41,/Users/CFDA_BOLOGNA/farec3d/reports_batch/report_20251107_114041_3.html
binladen1.jpeg,binLaden2.jpeg,18.95,0.162104,BASSA,f4547c883291b0a64f0f83570a5a2a7ef8919c662dcf03394d7f128d4bffb9f4,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,2025-11-07 11:40:41,/Users/CFDA_BOLOGNA/farec3d/reports_batch/report_20251107_114041_3.html
binladen1.jpeg,binladen1.jpeg,100.00,0.000000,ALTA,f4547c883291b0a64f0f83570a5a2a7ef8919c662dcf03394d7f128d4bffb9f4,f4547c883291b0a64f0f83570a5a2a7ef8919c662dcf03394d7f128d4bffb9f4,2025-11-07 11:40:41,/Users/CFDA_BOLOGNA/farec3d/reports_batch/report_20251107_114041_4.html
binladen1.jpeg,binladen3.jpeg,44.42,0.111164,BASSA,f4547c883291b0a64f0f83570a5a2a7ef8919c662dcf03394d7f128d4bffb9f4,5a432f19d4683810f9950d196f138c5a999aa2a3e511bc6503c8bfead1e1e0f2,2025-11-07 11:40:41,/Users/CFDA_BOLOGNA/farec3d/reports_batch/report_20251107_114041_4.html
binladen1.jpeg,binladen4.jpeg,34.40,0.131205,BASSA,f4547c883291b0a64f0f83570a5a2a7ef8919c662dcf03394d7f128d4bffb9f4,e2907a462828d3ebdb702afa82c4f8c85e05448458d70b3032584eb12d3bedc4,2025-11-07 11:40:41,/Users/CFDA_BOLOGNA/farec3d/reports_batch/report_20251107_114041_4.html
binladen1.jpeg,binladen5.jpeg,5.67,0.188663,BASSA,f4547c883291b0a64f0f83570a5a2a7ef8919c662dcf03394d7f128d4bffb9f4,49ad86c7f9e938a96dc666fa08a888073c59278c5c047cdf7da3c7aedcdc9364,2025-11-07 11:40:41,/Users/CFDA_BOLOGNA/farec3d/reports_batch/report_20251107_114041_5.html
binladen1.jpeg,binladen6.jpeg,71.05,0.057895,MEDIA,f4547c883291b0a64f0f83570a5a2a7ef8919c662dcf03394d7f128d4bffb9f4,a2ff8dc1717b749229150ccaf7c6b10abc8ed5b20bbcd87df8d0574b15329812,2025-11-07 11:40:41,/Users/CFDA_BOLOGNA/farec3d/reports_batch/report_20251107_114041_5.html
binladen3.jpeg,binLaden2.jpeg,1.05,0.197910,BASSA,5a432f19d4683810f9950d196f138c5a999aa2a3e511bc6503c8bfead1e1e0f2,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,2025-11-07 11:40:41,/Users/CFDA_BOLOGNA/farec3d/reports_batch/report_20251107_114041_6.html
binladen3.jpeg,binladen1.jpeg,44.42,0.111164,BASSA,5a432f19d4683810f9950d196f138c5a999aa2a3e511bc6503c8bfead1e1e0f2,f4547c883291b0a64f0f83570a5a2a7ef8919c662dcf03394d7f128d4bffb9f4,2025-11-07 11:40:41,/Users/CFDA_BOLOGNA/farec3d/reports_batch/report_20251107_114041_6.html
binladen3.jpeg,binladen3.jpeg,100.00,0.000000,ALTA,5a432f19d4683810f9950d196f138c5a999aa2a3e511bc6503c8bfead1e1e0f2,5a432f19d4683810f9950d196f138c5a999aa2a3e511bc6503c8bfead1e1e0f2,2025-11-07 11:40:41,/Users/CFDA_BOLOGNA/farec3d/reports_batch/report_20251107_114041_6.html
binladen3.jpeg,binladen4.jpeg,56.98,0.086042,BASSA,5a432f19d4683810f9950d196f138c5a999aa2a3e511bc6503c8bfead1e1e0f2,e2907a462828d3ebdb702afa82c4f8c85e05448458d70b3032584eb12d3bedc4,2025-11-07 11:40:41,/Users/CFDA_BOLOGNA/farec3d/reports_batch/report_20251107_114041_7.html
binladen3.jpeg,binladen5.jpeg,0.00,0.243058,BASSA,5a432f19d4683810f9950d196f138c5a999aa2a3e511bc6503c8bfead1e1e0f2,49ad86c7f9e938a96dc666fa08a888073c59278c5c047cdf7da3c7aedcdc9364,2025-11-07 11:40:41,/Users/CFDA_BOLOGNA/farec3d/reports_batch/report_20251107_114041_7.html
